label,accuracy,precision,recall,f1-score,support,tp,fp,fn,tn
Sperm_Whale,0.8863969510407506,0.9880718954248366,0.8863969510407506,0.9344768969247411,6822,6047,73,775,8349
Fin_Finback_Whale,0.9934086629001884,0.997164461247637,0.9934086629001884,0.9952830188679247,2124,2110,6,14,13114
other,0.003369839932603201,0.2857142857142857,0.003369839932603201,0.006661115736885928,1187,4,10,1183,14047
Humpback_Whale,0.9432835820895522,0.9926701570680628,0.9432835820895522,0.9673469387755101,1005,948,7,57,14232
Short-Finned_(Pacific)_Pilot_Whale,0.9154929577464789,0.5357142857142857,0.9154929577464789,0.6759098786828422,426,390,338,36,14480
Bowhead_Whale,0.41075794621026895,0.6942148760330579,0.41075794621026895,0.5161290322580645,409,168,74,241,14761
Killer_Whale,0.9607329842931938,0.9557291666666666,0.9607329842931938,0.95822454308094,382,367,17,15,14845
Bearded_Seal,0.741424802110818,0.548828125,0.741424802110818,0.6307519640852973,379,281,231,98,14634
Spinner_Dolphin,0.9893238434163701,0.9114754098360656,0.9893238434163701,0.9488054607508533,281,278,27,3,14936
Long-Finned_Pilot_Whale,0.8592592592592593,0.8111888111888111,0.8592592592592593,0.8345323741007193,270,232,54,38,14920
Pantropical_Spotted_Dolphin,0.9814126394052045,0.967032967032967,0.9814126394052045,0.974169741697417,269,264,9,5,14966
Bottlenose_Dolphin,0.9534883720930233,0.4979757085020243,0.9534883720930233,0.6542553191489361,258,246,248,12,14738
Weddell_Seal,0.8986175115207373,0.7195571955719557,0.8986175115207373,0.7991803278688525,217,195,76,22,14951
Common_Dolphin,0.9414893617021277,0.5283582089552239,0.9414893617021277,0.6768642447418738,188,177,158,11,14898
White-sided_Dolphin,0.9343065693430657,0.43389830508474575,0.9343065693430657,0.5925925925925926,137,128,167,9,14940
Walrus,0.9181818181818182,0.38846153846153847,0.9181818181818182,0.545945945945946,110,101,159,9,14975
Clymene_Dolphin,0.8571428571428571,0.4375,0.8571428571428571,0.5793103448275861,98,84,108,14,15038
Fraser's_Dolphin,0.9594594594594594,0.4382716049382716,0.9594594594594594,0.6016949152542374,74,71,91,3,15079
False_Killer_Whale,0.921875,0.5086206896551724,0.921875,0.6555555555555556,64,59,57,5,15123
Striped_Dolphin,0.8524590163934426,0.45217391304347826,0.8524590163934426,0.5909090909090909,61,52,63,9,15120
West_Indian_Manatee,1.0,0.5048543689320388,1.0,0.6709677419354839,52,52,51,0,15141
Ross_Seal,0.6122448979591837,0.4411764705882353,0.6122448979591837,0.5128205128205129,49,30,38,19,15157
Northern_Right_Whale,0.7916666666666666,0.38,0.7916666666666666,0.5135135135135135,48,38,62,10,15134
Grampus_Risso's_Dolphin,0.8275862068965517,0.2857142857142857,0.8275862068965517,0.4247787610619469,29,24,60,5,15155
Harbor_Porpoise,0.8928571428571429,0.4807692307692308,0.8928571428571429,0.625,28,25,27,3,15189
Minke_Whale,1.0,0.36486486486486486,1.0,0.5346534653465346,27,27,47,0,15170
Dusky_Dolphin,1.0,0.54,1.0,0.7012987012987013,27,27,23,0,15194
Atlantic_Spotted_Dolphin,1.0,0.42857142857142855,1.0,0.6,27,27,36,0,15181
Long_Beaked_(Pacific)_Common_Dolphin,0.9615384615384616,0.5102040816326531,0.9615384615384616,0.6666666666666667,26,25,24,1,15194
Leopard_Seal,0.6,0.2631578947368421,0.6,0.36585365853658536,25,15,42,10,15177
Beluga_White_Whale,0.6666666666666666,0.21875,0.6666666666666666,0.32941176470588235,21,14,50,7,15173
Melon_Headed_Whale,0.9473684210526315,0.2903225806451613,0.9473684210526315,0.4444444444444444,19,18,44,1,15181
White-beaked_Dolphin,0.8333333333333334,0.46875,0.8333333333333334,0.6,18,15,17,3,15209
Gray_Whale,0.8823529411764706,0.3488372093023256,0.8823529411764706,0.5,17,15,28,2,15199
Harp_Seal,0.8461538461538461,0.5,0.8461538461538461,0.6285714285714286,13,11,11,2,15220
Southern_Right_Whale,0.9,0.19148936170212766,0.9,0.3157894736842105,10,9,38,1,15196
Boutu_Amazon_River_Dolphin,1.0,0.391304347826087,1.0,0.5625,9,9,14,0,15221
Ribbon_Seal,0.375,0.09375,0.375,0.15,8,3,29,5,15207
Heaviside's_Dolphin,1.0,0.5,1.0,0.6666666666666666,6,6,6,0,15232
Dall's_Porpoise,1.0,0.6666666666666666,1.0,0.8,4,4,2,0,15238
Rough-Toothed_Dolphin,1.0,0.5,1.0,0.6666666666666666,3,3,3,0,15238
Spotted_Seal,0.3333333333333333,0.5,0.3333333333333333,0.4,3,1,1,2,15240
Irawaddy_Dolphin,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,2,4,1,15237
Narwhal,0.0,0.0,0.0,0.0,2,0,0,2,15242
Ringed_Seal,0.5,0.2,0.5,0.28571428571428575,2,1,4,1,15238
Juan_Fernandez_Fur_Seal,0.0,0.0,0.0,0.0,2,0,0,2,15242
Tucuxi_Dolphin,1.0,0.25,1.0,0.4,1,1,3,0,15240
Hooded_Seal,0.0,0.0,0.0,0.0,1,0,1,1,15242
Sea_Otter,1.0,1.0,1.0,1.0,1,1,0,0,15243
Finless_Porpoise,0.0,0.0,0.0,0.0,1,0,0,1,15243
Steller_Sea_Lion,0.0,0.0,0.0,0.0,1,0,1,1,15242
