label,index
Sperm_Whale,0
Fin_Finback_Whale,1
other,2
Humpback_Whale,3
Short-Finned_(Pacific)_Pilot_Whale,4
Bowhead_Whale,5
Killer_Whale,6
Bearded_Seal,7
Spinner_Dolphin,8
Long-Finned_Pilot_Whale,9
Pantropical_Spotted_Dolphin,10
Bottlenose_Dolphin,11
Weddell_Seal,12
Common_Dolphin,13
White-sided_Dolphin,14
Walrus,15
Clymene_Dolphin,16
Fraser's_Dolphin,17
False_Killer_Whale,18
Striped_Dolphin,19
West_Indian_Manatee,20
Ross_Seal,21
Northern_Right_Whale,22
Grampus_Risso's_Dolphin,23
Harbor_Porpoise,24
Minke_Whale,25
Dusky_Dolphin,26
Atlantic_Spotted_Dolphin,27
Long_Beaked_(Pacific)_Common_Dolphin,28
Leopard_Seal,29
Beluga_White_Whale,30
Melon_Headed_Whale,31
White-beaked_Dolphin,32
Gray_Whale,33
Harp_Seal,34
Southern_Right_Whale,35
Boutu_Amazon_River_Dolphin,36
Ribbon_Seal,37
Heaviside's_Dolphin,38
Dall's_Porpoise,39
Rough-Toothed_Dolphin,40
Spotted_Seal,41
Irawaddy_Dolphin,42
Narwhal,43
Ringed_Seal,44
Juan_Fernandez_Fur_Seal,45
Tucuxi_Dolphin,46
Hooded_Seal,47
Sea_Otter,48
Finless_Porpoise,49
Steller_Sea_Lion,50
