label,index
Common_Dolphin,0
White-sided_Dolphin,1
Walrus,2
Clymene_Dolphin,3
Fraser's_Dolphin,4
False_Killer_Whale,5
Striped_Dolphin,6
West_Indian_Manatee,7
Ross_Seal,8
Northern_Right_Whale,9
Grampus_Risso's_Dolphin,10
Harbor_Porpoise,11
Minke_Whale,12
Dusky_Dolphin,13
Atlantic_Spotted_Dolphin,14
Long_Beaked_(Pacific)_Common_Dolphin,15
Leopard_Seal,16
Beluga_White_Whale,17
Melon_Headed_Whale,18
White-beaked_Dolphin,19
Gray_Whale,20
Harp_Seal,21
Southern_Right_Whale,22
Boutu_Amazon_River_Dolphin,23
Ribbon_Seal,24
Heaviside's_Dolphin,25
Dall's_Porpoise,26
Rough-Toothed_Dolphin,27
Spotted_Seal,28
Irawaddy_Dolphin,29
Narwhal,30
Ringed_Seal,31
Juan_Fernandez_Fur_Seal,32
Tucuxi_Dolphin,33
Hooded_Seal,34
Sea_Otter,35
Finless_Porpoise,36
Steller_Sea_Lion,37
New_Zealand_Fur_Seal,38
