label,accuracy,precision,recall,f1-score,support,tp,fp,fn,cnn_errors
Common_Dolphin,1.0,1.0,1.0,1.0,235,235,0,0,0
White-sided_Dolphin,1.0,1.0,1.0,1.0,172,172,0,0,0
Walrus,1.0,1.0,1.0,1.0,137,137,0,0,0
Clymene_Dolphin,1.0,0.991869918699187,1.0,0.9959183673469388,122,122,1,0,0
Fraser's_Dolphin,1.0,1.0,1.0,1.0,93,93,0,0,0
False_Killer_Whale,0.9875,1.0,0.9875,0.9937106918238994,80,79,0,1,0
Striped_Dolphin,1.0,1.0,1.0,1.0,77,77,0,0,0
West_Indian_Manatee,1.0,0.9848484848484849,1.0,0.9923664122137404,65,65,1,0,0
Ross_Seal,0.9836065573770492,1.0,0.9836065573770492,0.9917355371900827,61,60,0,1,0
Northern_Right_Whale,1.0,1.0,1.0,1.0,61,61,0,0,0
Grampus_Risso's_Dolphin,1.0,0.9736842105263158,1.0,0.9866666666666666,37,37,1,0,0
Harbor_Porpoise,1.0,1.0,1.0,1.0,35,35,0,0,0
Minke_Whale,1.0,1.0,1.0,1.0,34,34,0,0,0
Dusky_Dolphin,1.0,1.0,1.0,1.0,33,33,0,0,0
Atlantic_Spotted_Dolphin,1.0,1.0,1.0,1.0,33,33,0,0,0
Long_Beaked_(Pacific)_Common_Dolphin,1.0,1.0,1.0,1.0,32,32,0,0,0
Leopard_Seal,1.0,1.0,1.0,1.0,31,31,0,0,0
Beluga_White_Whale,0.9615384615384616,1.0,0.9615384615384616,0.9803921568627451,26,25,0,1,0
Melon_Headed_Whale,1.0,0.96,1.0,0.9795918367346939,24,24,1,0,0
White-beaked_Dolphin,1.0,0.9583333333333334,1.0,0.9787234042553191,23,23,1,0,0
Gray_Whale,1.0,1.0,1.0,1.0,21,21,0,0,0
Harp_Seal,1.0,0.8888888888888888,1.0,0.9411764705882353,16,16,2,0,0
Southern_Right_Whale,1.0,1.0,1.0,1.0,12,12,0,0,0
Boutu_Amazon_River_Dolphin,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,11,10,0,1,0
Ribbon_Seal,0.9,0.9,0.9,0.9,10,9,1,1,0
Heaviside's_Dolphin,1.0,1.0,1.0,1.0,7,7,0,0,0
Dall's_Porpoise,1.0,0.8,1.0,0.888888888888889,4,4,1,0,0
Rough-Toothed_Dolphin,1.0,1.0,1.0,1.0,4,4,0,0,0
Spotted_Seal,0.75,1.0,0.75,0.8571428571428571,4,3,0,1,0
Irawaddy_Dolphin,1.0,1.0,1.0,1.0,3,3,0,0,0
Narwhal,1.0,0.75,1.0,0.8571428571428571,3,3,1,0,0
Ringed_Seal,0.6666666666666666,1.0,0.6666666666666666,0.8,3,2,0,1,0
Juan_Fernandez_Fur_Seal,1.0,1.0,1.0,1.0,2,2,0,0,0
Tucuxi_Dolphin,0.0,0.0,0.0,0.0,2,0,0,2,0
Hooded_Seal,1.0,1.0,1.0,1.0,2,2,0,0,0
Sea_Otter,0.0,0.0,0.0,0.0,1,0,0,1,0
Finless_Porpoise,1.0,1.0,1.0,1.0,1,1,0,0,0
Steller_Sea_Lion,1.0,1.0,1.0,1.0,1,1,0,0,0
New_Zealand_Fur_Seal,1.0,1.0,1.0,1.0,1,1,0,0,0
