label,accuracy,precision,recall,f1-score,support,tp,fp,fn,cnn_errors
Common_Dolphin,0.9872340425531915,0.8854961832061069,0.9872340425531915,0.9336016096579477,235,232,30,3,1
White-sided_Dolphin,0.9883720930232558,0.9714285714285714,0.9883720930232558,0.9798270893371757,172,170,5,2,2
Walrus,0.6642335766423357,0.9479166666666666,0.6642335766423357,0.7811158798283261,137,91,5,46,44
Clymene_Dolphin,0.9426229508196722,0.8646616541353384,0.9426229508196722,0.9019607843137254,122,115,18,7,6
Fraser's_Dolphin,0.9032258064516129,0.8571428571428571,0.9032258064516129,0.8795811518324608,93,84,14,9,7
False_Killer_Whale,0.975,1.0,0.975,0.9873417721518987,80,78,0,2,1
Striped_Dolphin,0.8961038961038961,0.9324324324324325,0.8961038961038961,0.9139072847682119,77,69,5,8,5
West_Indian_Manatee,1.0,0.9848484848484849,1.0,0.9923664122137404,65,65,1,0,0
Ross_Seal,0.5245901639344263,0.6808510638297872,0.5245901639344263,0.5925925925925926,61,32,15,29,13
Northern_Right_Whale,0.819672131147541,0.9615384615384616,0.819672131147541,0.8849557522123893,61,50,2,11,9
Grampus_Risso's_Dolphin,0.8108108108108109,0.9090909090909091,0.8108108108108109,0.8571428571428571,37,30,3,7,5
Harbor_Porpoise,1.0,1.0,1.0,1.0,35,35,0,0,0
Minke_Whale,0.9117647058823529,1.0,0.9117647058823529,0.9538461538461539,34,31,0,3,3
Dusky_Dolphin,1.0,1.0,1.0,1.0,33,33,0,0,0
Atlantic_Spotted_Dolphin,1.0,0.9705882352941176,1.0,0.9850746268656716,33,33,1,0,0
Long_Beaked_(Pacific)_Common_Dolphin,1.0,1.0,1.0,1.0,32,32,0,0,0
Leopard_Seal,0.2903225806451613,0.391304347826087,0.2903225806451613,0.33333333333333337,31,9,14,22,7
Beluga_White_Whale,0.6923076923076923,0.9473684210526315,0.6923076923076923,0.7999999999999999,26,18,1,8,5
Melon_Headed_Whale,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,24,16,4,8,8
White-beaked_Dolphin,1.0,0.8518518518518519,1.0,0.92,23,23,4,0,0
Gray_Whale,0.8571428571428571,0.6923076923076923,0.8571428571428571,0.7659574468085107,21,18,8,3,3
Harp_Seal,0.625,1.0,0.625,0.7692307692307693,16,10,0,6,6
Southern_Right_Whale,0.6666666666666666,1.0,0.6666666666666666,0.8,12,8,0,4,4
Boutu_Amazon_River_Dolphin,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,11,8,0,3,1
Ribbon_Seal,0.3,1.0,0.3,0.4615384615384615,10,3,0,7,7
Heaviside's_Dolphin,1.0,1.0,1.0,1.0,7,7,0,0,0
Dall's_Porpoise,1.0,0.8,1.0,0.888888888888889,4,4,1,0,0
Rough-Toothed_Dolphin,1.0,1.0,1.0,1.0,4,4,0,0,0
Spotted_Seal,0.25,1.0,0.25,0.4,4,1,0,3,2
Irawaddy_Dolphin,0.3333333333333333,1.0,0.3333333333333333,0.5,3,1,0,2,2
Narwhal,1.0,0.75,1.0,0.8571428571428571,3,3,1,0,0
Ringed_Seal,0.3333333333333333,1.0,0.3333333333333333,0.5,3,1,0,2,1
Juan_Fernandez_Fur_Seal,0.5,1.0,0.5,0.6666666666666666,2,1,0,1,1
Tucuxi_Dolphin,0.0,0.0,0.0,0.0,2,0,0,2,0
Hooded_Seal,1.0,1.0,1.0,1.0,2,2,0,0,0
Sea_Otter,1.0,1.0,1.0,1.0,1,1,0,0,0
Finless_Porpoise,0.0,0.0,0.0,0.0,1,0,0,1,1
Steller_Sea_Lion,0.0,0.0,0.0,0.0,1,0,0,1,0
New_Zealand_Fur_Seal,0.0,0.0,0.0,0.0,1,0,0,1,1
CNN_error,0.0,0.0,0.0,0.0,76,0,0,76,0
