label,accuracy,precision,recall,f1-score,support,tp,fp,fn,tn
Sperm_Whale,0.8719362026504046,0.9975848651549711,0.8719362026504046,0.9305381727158949,8527,7435,18,1092,9027
Fin_Finback_Whale,0.9943502824858758,0.998109640831758,0.9943502824858758,0.9962264150943397,2655,2640,5,15,14912
other,0.9045424621461488,0.9475862068965517,0.9045424621461488,0.9255641630178512,1519,1374,76,145,15977
Humpback_Whale,0.9896496815286624,0.9944,0.9896496815286624,0.9920191540303273,1256,1243,7,13,16309
Short-Finned_(Pacific)_Pilot_Whale,0.9887429643527205,0.4692787177203918,0.9887429643527205,0.6364734299516909,533,527,596,6,16443
Bowhead_Whale,0.7945205479452054,0.5538881309686221,0.7945205479452054,0.6527331189710611,511,406,327,105,16734
Killer_Whale,0.9916317991631799,0.9895615866388309,0.9916317991631799,0.9905956112852664,478,474,5,4,17089
Bearded_Seal,0.3860759493670886,0.580952380952381,0.3860759493670886,0.46387832699619774,474,183,132,291,16966
Spinner_Dolphin,0.9943181818181818,0.9259259259259259,0.9943181818181818,0.958904109589041,352,350,28,2,17192
Long-Finned_Pilot_Whale,0.9792284866468842,0.8549222797927462,0.9792284866468842,0.9128630705394191,337,330,56,7,17179
Pantropical_Spotted_Dolphin,0.9940476190476191,0.9766081871345029,0.9940476190476191,0.9852507374631269,336,334,8,2,17228
Bottlenose_Dolphin,1.0,0.45365168539325845,1.0,0.6241545893719808,323,323,389,0,16860
Weddell_Seal,0.981549815498155,0.869281045751634,0.981549815498155,0.9220103986135182,271,266,40,5,17261
