label,accuracy,precision,recall,f1-score,support,tp,fp,fn,cnn_errors
False_Killer_Whale,0.025,0.0392156862745098,0.025,0.03053435114503817,80,2,49,78,0
Rough-Toothed_Dolphin,0.75,0.15,0.75,0.24999999999999997,4,3,17,1,0
Leopard_Seal,0.41935483870967744,0.21311475409836064,0.41935483870967744,0.28260869565217395,31,13,48,18,0
Dall's_Porpoise,0.75,0.01935483870967742,0.75,0.03773584905660377,4,3,152,1,0
Fraser's_Dolphin,0.10752688172043011,0.14705882352941177,0.10752688172043011,0.12422360248447205,93,10,58,83,0
Boutu_Amazon_River_Dolphin,0.36363636363636365,0.0975609756097561,0.36363636363636365,0.15384615384615385,11,4,37,7,0
Atlantic_Spotted_Dolphin,0.0,0.0,0.0,0.0,33,0,66,33,0
Striped_Dolphin,0.05194805194805195,0.10256410256410256,0.05194805194805195,0.06896551724137932,77,4,35,73,0
Tucuxi_Dolphin,0.5,0.0625,0.5,0.1111111111111111,2,1,15,1,0
Southern_Right_Whale,0.25,0.15789473684210525,0.25,0.1935483870967742,12,3,16,9,0
Ribbon_Seal,0.2,0.07407407407407407,0.2,0.10810810810810811,10,2,25,8,0
Irawaddy_Dolphin,0.3333333333333333,0.0625,0.3333333333333333,0.10526315789473684,3,1,15,2,0
Long_Beaked_(Pacific)_Common_Dolphin,0.8125,0.37681159420289856,0.8125,0.514851485148515,32,26,43,6,0
Clymene_Dolphin,0.0,0.0,0.0,0.0,122,0,17,122,0
Walrus,0.15328467153284672,0.5384615384615384,0.15328467153284672,0.23863636363636365,137,21,18,116,0
White-beaked_Dolphin,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,23,2,21,21,0
Finless_Porpoise,1.0,0.038461538461538464,1.0,0.07407407407407407,1,1,25,0,0
Dusky_Dolphin,0.9090909090909091,0.5263157894736842,0.9090909090909091,0.6666666666666666,33,30,27,3,0
Northern_Right_Whale,0.04918032786885246,0.11538461538461539,0.04918032786885246,0.06896551724137931,61,3,23,58,0
Heaviside's_Dolphin,0.7142857142857143,0.23809523809523808,0.7142857142857143,0.35714285714285715,7,5,16,2,0
Ringed_Seal,0.3333333333333333,0.027777777777777776,0.3333333333333333,0.05128205128205128,3,1,35,2,0
Steller_Sea_Lion,0.0,0.0,0.0,0.0,1,0,6,1,0
West_Indian_Manatee,0.7076923076923077,0.6052631578947368,0.7076923076923077,0.6524822695035462,65,46,30,19,0
Narwhal,1.0,0.0625,1.0,0.11764705882352941,3,3,45,0,0
Harbor_Porpoise,0.5714285714285714,0.43478260869565216,0.5714285714285714,0.49382716049382713,35,20,26,15,0
Harp_Seal,0.4375,0.1346153846153846,0.4375,0.2058823529411765,16,7,45,9,0
Gray_Whale,0.19047619047619047,0.12903225806451613,0.19047619047619047,0.15384615384615383,21,4,27,17,0
Spotted_Seal,0.75,0.13636363636363635,0.75,0.23076923076923075,4,3,19,1,0
Common_Dolphin,0.0425531914893617,0.3333333333333333,0.0425531914893617,0.07547169811320754,235,10,20,225,0
White-sided_Dolphin,0.18604651162790697,0.5333333333333333,0.18604651162790697,0.27586206896551724,172,32,28,140,0
Sea_Otter,0.0,0.0,0.0,0.0,1,0,2,1,0
Hooded_Seal,0.5,0.07142857142857142,0.5,0.125,2,1,13,1,0
Melon_Headed_Whale,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.4242424242424242,24,14,28,10,0
Beluga_White_Whale,0.038461538461538464,0.08333333333333333,0.038461538461538464,0.05263157894736842,26,1,11,25,0
New_Zealand_Fur_Seal,0.0,0.0,0.0,0.0,1,0,34,1,0
Grampus_Risso's_Dolphin,0.10810810810810811,0.12903225806451613,0.10810810810810811,0.11764705882352941,37,4,27,33,0
Minke_Whale,0.7647058823529411,0.7222222222222222,0.7647058823529411,0.7428571428571428,34,26,10,8,0
Ross_Seal,0.26229508196721313,0.3404255319148936,0.26229508196721313,0.2962962962962963,61,16,31,45,0
Juan_Fernandez_Fur_Seal,0.5,0.02702702702702703,0.5,0.05128205128205129,2,1,36,1,0
