label,accuracy,precision,recall,f1-score,support,tp,fp,fn,tn
Ringed_Seal,0.6666666666666666,0.045454545454545456,1.0,0.08695652173913045,3,2,42,0,1406
Tucuxi_Dolphin,0.5,0.04,0.5,0.07407407407407407,2,1,24,1,1424
Northern_Right_Whale,0.08196721311475409,0.4166666666666667,0.09615384615384616,0.15625,61,5,7,47,1391
Hooded_Seal,1.0,0.11764705882352941,1.0,0.21052631578947367,2,2,15,0,1433
New_Zealand_Fur_Seal,0.0,0.0,0.0,0.0,1,0,20,0,1430
White-beaked_Dolphin,0.2608695652173913,0.16216216216216217,0.2608695652173913,0.2,23,6,31,17,1396
Minke_Whale,0.6176470588235294,0.7,0.6774193548387096,0.6885245901639343,34,21,9,10,1410
White-sided_Dolphin,0.36046511627906974,0.6666666666666666,0.36470588235294116,0.4714828897338403,172,62,31,108,1249
Walrus,0.16058394160583941,0.6111111111111112,0.23655913978494625,0.34108527131782945,137,22,14,71,1343
Fraser's_Dolphin,0.0967741935483871,0.14516129032258066,0.10465116279069768,0.12162162162162163,93,9,53,77,1311
Harp_Seal,0.4375,0.11864406779661017,0.7,0.20289855072463767,16,7,52,3,1388
Dusky_Dolphin,0.7878787878787878,0.5531914893617021,0.7878787878787878,0.65,33,26,21,7,1396
Heaviside's_Dolphin,0.8571428571428571,0.15,0.8571428571428571,0.2553191489361702,7,6,34,1,1409
Boutu_Amazon_River_Dolphin,0.45454545454545453,0.16129032258064516,0.5,0.24390243902439024,11,5,26,5,1414
Juan_Fernandez_Fur_Seal,0.5,0.02702702702702703,1.0,0.052631578947368425,2,1,36,0,1413
Common_Dolphin,0.10212765957446808,0.47058823529411764,0.10256410256410256,0.16842105263157894,235,24,27,210,1189
Steller_Sea_Lion,1.0,0.14285714285714285,1.0,0.25,1,1,6,0,1443
CNN_error,0.0,0.0,0.0,0.0,76,0,0,76,1374
Ribbon_Seal,0.0,0.0,0.0,0.0,10,0,13,3,1434
Dall's_Porpoise,0.5,0.022988505747126436,0.5,0.04395604395604396,4,2,85,2,1361
Melon_Headed_Whale,0.4166666666666667,0.18518518518518517,0.625,0.2857142857142857,24,10,44,6,1390
Southern_Right_Whale,0.16666666666666666,0.125,0.25,0.16666666666666666,12,2,14,6,1428
False_Killer_Whale,0.125,0.5,0.12658227848101267,0.20202020202020204,80,10,10,69,1361
Ross_Seal,0.4098360655737705,0.5,0.5208333333333334,0.5102040816326531,61,25,25,23,1377
Leopard_Seal,0.41935483870967744,0.35135135135135137,0.5416666666666666,0.4262295081967213,31,13,24,11,1402
Spotted_Seal,0.25,0.024390243902439025,0.5,0.046511627906976744,4,1,40,1,1408
Beluga_White_Whale,0.038461538461538464,0.08333333333333333,0.047619047619047616,0.060606060606060615,26,1,11,20,1418
Finless_Porpoise,0.0,0.0,0.0,0.0,1,0,7,0,1443
Narwhal,1.0,0.08333333333333333,1.0,0.15384615384615385,3,3,33,0,1414
Rough-Toothed_Dolphin,0.75,0.05,0.75,0.09375000000000001,4,3,57,1,1389
Gray_Whale,0.14285714285714285,0.10344827586206896,0.16666666666666666,0.1276595744680851,21,3,26,15,1406
West_Indian_Manatee,0.7692307692307693,0.6578947368421053,0.7692307692307693,0.7092198581560285,65,50,26,15,1359
Long_Beaked_(Pacific)_Common_Dolphin,0.78125,0.30120481927710846,0.78125,0.4347826086956522,32,25,58,7,1360
Clymene_Dolphin,0.07377049180327869,0.391304347826087,0.07758620689655173,0.12949640287769784,122,9,14,107,1320
Atlantic_Spotted_Dolphin,0.15151515151515152,0.11363636363636363,0.15151515151515152,0.12987012987012989,33,5,39,28,1378
Irawaddy_Dolphin,0.3333333333333333,0.25,1.0,0.4,3,1,3,0,1446
Sea_Otter,0.0,0.0,0.0,0.0,1,0,4,1,1445
Grampus_Risso's_Dolphin,0.05405405405405406,0.05,0.0625,0.05555555555555556,37,2,38,30,1380
Striped_Dolphin,0.03896103896103896,0.0967741935483871,0.041666666666666664,0.05825242718446602,77,3,28,69,1350
Harbor_Porpoise,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,35,20,15,15,1400
