label,accuracy,precision,recall,f1-score,support,tp,fp,fn,cnn_errors
Sperm_Whale,1.0,1.0,1.0,1.0,8527,8527,0,0,0
Fin_Finback_Whale,1.0,1.0,1.0,1.0,2655,2655,0,0,0
Humpback_Whale,1.0,1.0,1.0,1.0,1256,1256,0,0,0
Short-Finned_(Pacific)_Pilot_Whale,1.0,1.0,1.0,1.0,533,533,0,0,0
Bowhead_Whale,1.0,0.998046875,1.0,0.9990224828934506,511,511,1,0,0
Killer_Whale,1.0,1.0,1.0,1.0,478,478,0,0,0
Bearded_Seal,0.9978902953586498,1.0,0.9978902953586498,0.9989440337909187,474,473,0,1,0
Spinner_Dolphin,1.0,1.0,1.0,1.0,352,352,0,0,0
Long-Finned_Pilot_Whale,1.0,1.0,1.0,1.0,337,337,0,0,0
Pantropical_Spotted_Dolphin,1.0,1.0,1.0,1.0,336,336,0,0,0
Bottlenose_Dolphin,1.0,1.0,1.0,1.0,323,323,0,0,0
Weddell_Seal,0.996309963099631,1.0,0.996309963099631,0.9981515711645101,271,270,0,1,0
Common_Dolphin,1.0,1.0,1.0,1.0,235,235,0,0,0
White-sided_Dolphin,1.0,0.9942196531791907,1.0,0.9971014492753623,172,172,1,0,0
Walrus,0.9927007299270073,0.9784172661870504,0.9927007299270073,0.9855072463768116,137,136,3,1,0
Clymene_Dolphin,1.0,0.9682539682539683,1.0,0.9838709677419354,122,122,4,0,0
Fraser's_Dolphin,1.0,0.9893617021276596,1.0,0.9946524064171123,93,93,1,0,0
False_Killer_Whale,0.9875,1.0,0.9875,0.9937106918238994,80,79,0,1,0
Striped_Dolphin,1.0,0.9746835443037974,1.0,0.9871794871794872,77,77,2,0,0
West_Indian_Manatee,1.0,0.9848484848484849,1.0,0.9923664122137404,65,65,1,0,0
Ross_Seal,0.9508196721311475,0.9666666666666667,0.9508196721311475,0.9586776859504132,61,58,2,3,0
Northern_Right_Whale,0.9508196721311475,1.0,0.9508196721311475,0.9747899159663865,61,58,0,3,0
Grampus_Risso's_Dolphin,0.972972972972973,0.9473684210526315,0.972972972972973,0.9599999999999999,37,36,2,1,0
Harbor_Porpoise,1.0,1.0,1.0,1.0,35,35,0,0,0
Minke_Whale,1.0,1.0,1.0,1.0,34,34,0,0,0
Dusky_Dolphin,1.0,1.0,1.0,1.0,33,33,0,0,0
Atlantic_Spotted_Dolphin,1.0,1.0,1.0,1.0,33,33,0,0,0
Long_Beaked_(Pacific)_Common_Dolphin,1.0,1.0,1.0,1.0,32,32,0,0,0
Leopard_Seal,0.9354838709677419,1.0,0.9354838709677419,0.9666666666666666,31,29,0,2,0
Beluga_White_Whale,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,26,24,2,2,0
Melon_Headed_Whale,1.0,1.0,1.0,1.0,24,24,0,0,0
White-beaked_Dolphin,1.0,1.0,1.0,1.0,23,23,0,0,0
Gray_Whale,1.0,1.0,1.0,1.0,21,21,0,0,0
Harp_Seal,1.0,0.9411764705882353,1.0,0.9696969696969697,16,16,1,0,0
Southern_Right_Whale,1.0,1.0,1.0,1.0,12,12,0,0,0
Boutu_Amazon_River_Dolphin,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,11,10,0,1,0
Ribbon_Seal,0.8,1.0,0.8,0.888888888888889,10,8,0,2,0
Heaviside's_Dolphin,1.0,1.0,1.0,1.0,7,7,0,0,0
Dall's_Porpoise,1.0,0.8,1.0,0.888888888888889,4,4,1,0,0
Rough-Toothed_Dolphin,1.0,1.0,1.0,1.0,4,4,0,0,0
Spotted_Seal,1.0,1.0,1.0,1.0,4,4,0,0,0
Irawaddy_Dolphin,1.0,1.0,1.0,1.0,3,3,0,0,0
Narwhal,1.0,0.75,1.0,0.8571428571428571,3,3,1,0,0
Ringed_Seal,0.3333333333333333,1.0,0.3333333333333333,0.5,3,1,0,2,0
Juan_Fernandez_Fur_Seal,1.0,1.0,1.0,1.0,2,2,0,0,0
Tucuxi_Dolphin,0.0,0.0,0.0,0.0,2,0,0,2,0
Hooded_Seal,1.0,1.0,1.0,1.0,2,2,0,0,0
Sea_Otter,1.0,1.0,1.0,1.0,1,1,0,0,0
Finless_Porpoise,1.0,1.0,1.0,1.0,1,1,0,0,0
Steller_Sea_Lion,1.0,1.0,1.0,1.0,1,1,0,0,0
New_Zealand_Fur_Seal,1.0,1.0,1.0,1.0,1,1,0,0,0
