label,index,precision,recall,f1-score,support
Atlantic Spotted,0,0.0,0.0,0.0,28.0
Bearded Seal,1,0.0350877192982456,0.0291666666666666,0.0318543799772468,480.0
"Beluga, White Whale",2,0.0,0.0,0.0,30.0
Bottlenose Dolphin,3,0.0,0.0,0.0,325.0
"Boutu, Amazon",4,0.0,0.0,0.0,11.0
Bowhead Whale,5,0.0326370757180156,0.0495049504950495,0.03933910306845,505.0
Clymene Dolphin,6,0.0,0.0,0.0,131.0
Common Dolphin,7,0.0046948356807511,0.0038910505836575,0.0042553191489361,257.0
Dall's Porpoise,8,0.0,0.0,0.0,6.0
Dusky Dolphin,9,0.0,0.0,0.0,35.0
False Killer Whale,10,0.0,0.0,0.0,74.0
"Fin, Finback Whale",11,0.1573033707865168,0.1567567567567567,0.1570295880874105,2590.0
Finless Porpoise,12,0.0,0.0,0.0,2.0
Fraser's Dolphin,13,0.0,0.0,0.0,87.0
"Grampus, Risso's",14,0.0,0.0,0.0,34.0
Gray Whale,15,0.0,0.0,0.0,18.0
Harbor Porpoise,16,0.0,0.0,0.0,35.0
Harp Seal,17,0.0,0.0,0.0,21.0
Heaviside's Dolphin,18,0.0,0.0,0.0,10.0
Hooded Seal,19,0.0,0.0,0.0,2.0
Humpback Whale,20,0.0786240786240786,0.0258272800645682,0.0388821385176184,1239.0
Irawaddy Dolphin,21,0.0,0.0,0.0,4.0
Juan Fernandez,22,0.0,0.0,0.0,2.0
Killer Whale,23,0.0287958115183246,0.0223123732251521,0.0251428571428571,493.0
Leopard Seal,24,0.0,0.0,0.0,23.0
Long Beaked,25,0.0,0.0,0.0,34.0
Long-Finned Pilot,26,0.0246305418719211,0.0277777777777777,0.0261096605744125,360.0
Melon Headed Whale,27,0.0,0.0,0.0,15.0
Minke Whale,28,0.0,0.0,0.0,28.0
Narwhal,29,0.0,0.0,0.0,2.0
New Zealand Fur Seal,30,0.0,0.0,0.0,59.0
Northern Right Whale,31,0.0,0.0,0.0,329.0
Pantropical Spotted,32,0.0035211267605633,0.2,0.0069204152249134,5.0
Ribbon Seal,33,0.0,0.0,0.0,3.0
Ringed Seal,34,0.0,0.0,0.0,76.0
Ross Seal,35,0.0,0.0,0.0,6.0
Rough-Toothed Dolphin,36,0.0,0.0,0.0,2.0
Sea Otter,37,0.0,0.0,0.0,536.0
Short-Finned (Pacific),38,0.0,0.0,0.0,8.0
Southern Right Whale,39,0.3333333333333333,0.0001166588894073,0.0002332361516034,8572.0
Sperm Whale,40,0.0196701768329028,0.5892857142857143,0.0380696019996154,336.0
Spinner Dolphin,41,0.00390625,0.3333333333333333,0.0077220077220077,3.0
Spotted Seal,42,0.0,0.0,0.0,1.0
Steller Sea Lion,43,0.0,0.0,0.0,68.0
Striped Dolphin,44,0.0,0.0,0.0,1.0
Tucuxi Dolphin,45,0.0,0.0,0.0,162.0
Walrus,46,0.0,0.0,0.0,258.0
Weddell Seal,47,0.0116731517509727,0.044776119402985,0.0185185185185185,67.0
West Indian Manatee,48,0.0,0.0,0.0,19.0
White-beaked Dolphin,49,0.0,0.0,0.0,158.0
White-sided Dolphin,50,0.0,0.0,0.0,0.0
