label,index
Atlantic Spotted Dolphin,0
Bearded Seal,1
"Beluga, White Whale",2
Bottlenose Dolphin,3
"Boutu, Amazon River Dolphin",4
Bowhead Whale,5
Clymene Dolphin,6
Common Dolphin,7
Dall's Porpoise,8
Dusky Dolphin,9
False Killer Whale,10
"Fin, Finback Whale",11
Fraser's Dolphin,12
"Grampus, Risso's Dolphin",13
Gray Whale,14
Harbor Porpoise,15
Harp Seal,16
Heaviside's Dolphin,17
Hooded Seal,18
Humpback Whale,19
Irawaddy Dolphin,20
Juan Fernandez Fur Seal,21
Killer Whale,22
Leopard Seal,23
Long Beaked (Pacific) Common Dolphin,24
Long-Finned Pilot Whale,25
Melon Headed Whale,26
Minke Whale,27
Narwhal,28
New Zealand Fur Seal,29
Northern Right Whale,30
Pantropical Spotted Dolphin,31
Ribbon Seal,32
Ringed Seal,33
Ross Seal,34
Rough-Toothed Dolphin,35
Sea Otter,36
Short-Finned (Pacific) Pilot Whale,37
Southern Right Whale,38
Sperm Whale,39
Spinner Dolphin,40
Spotted Seal,41
Steller Sea Lion,42
Striped Dolphin,43
Tucuxi Dolphin,44
Walrus,45
Weddell Seal,46
West Indian Manatee,47
White-beaked Dolphin,48
White-sided Dolphin,49
